日付,ユーザー,ギフト名,合計コイン数
2025-10-02,🔮 Magenta 🔮,Doughnut,30
2025-10-02,مزمل چانڈیہ❤️‍🩹❤️‍🔥,Heart Me,1
2025-10-02,🔮 Magenta 🔮,Perfume,20
