日時,ユーザー名,イベント種別,内容
2025-11-12 20:11:42,En(えん)🎴🪭🐈‍⬛,comment,(´Д｀)ﾊｧ…仕事疲れたぜい
2025-11-12 20:11:42,En(えん)🎴🪭🐈‍⬛,comment,え、そだよ？
2025-11-12 20:11:42,En(えん)🎴🪭🐈‍⬛,comment,頑張るのは当たり前のことである！
2025-11-12 20:11:42,En(えん)🎴🪭🐈‍⬛,comment,20歳という若さの元気パワーですね！
2025-11-12 20:12:11,En(えん)🎴🪭🐈‍⬛,comment,なんか企画とかやらんのー？
2025-11-12 20:12:43,En(えん)🎴🪭🐈‍⬛,comment,毎回の配信変な企画とかやってる人やから....w
2025-11-12 20:13:03,En(えん)🎴🪭🐈‍⬛,comment,そろそろなんで！
2025-11-12 20:13:10,En(えん)🎴🪭🐈‍⬛,comment,行ってきやぁす！
