日付,ユーザー,ギフト名,合計コイン数
2025-10-31,るちる,Heart Me,1
2025-10-31,さっさん,Heart Me,1
2025-10-31,もる,Heart Me,1
2025-10-31,もる,Popular Vote,1
2025-10-31,さっさん,Pumpkin,1
2025-10-31,さっさん,Rose,1
2025-10-31,さっさん,Rose,1
2025-10-31,さっさん,Rose,20
2025-10-31,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Popular Vote,1
2025-10-31,ハムカツ(竜田サンズ),Heart Me,1
2025-10-31,あさみん(◍•ᴗ•◍)🍑,Finger Heart,5
2025-10-31,あさみん(◍•ᴗ•◍)🍑,Doughnut,30
2025-10-31,あさみん(◍•ᴗ•◍)🍑,Finger Heart,5
2025-10-31,あさみん(◍•ᴗ•◍)🍑,Finger Heart,10
2025-10-31,あさみん(◍•ᴗ•◍)🍑,Hat and Mustache,99
2025-11-01,ﾐｷﾞｶﾀﾆｺｶﾞﾈﾑｼ,Heart Me,1
2025-11-01,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Heart Me,1
2025-11-01,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-01,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Level-up Sparks,99
2025-11-01,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Finger Heart,15
2025-11-01,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Finger Heart,15
2025-11-01,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Carbuncle,20
2025-11-01,うらるくん,Heart Me,1
2025-11-01,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Pumpkin,1
2025-11-01,御影蘭,Heart Me,1
2025-11-01,御影蘭,Popular Vote,1
2025-11-01,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-01,御影蘭,Popular Vote,20
2025-11-01,るちる,Heart Me,1
2025-11-01,りんごあめ🍎🍭🎇,Heart Me,1
2025-11-01,とんちゃん,Rosa,10
2025-11-01,とんちゃん,Rosa,10
2025-11-01,とんちゃん,Rosa,10
2025-11-01,とんちゃん,Rosa,10
2025-11-01,とんちゃん,Rosa,10
2025-11-01,御影蘭,Rosa,50
2025-11-01,御影蘭,Rosa,50
2025-11-01,御影蘭,Rosa,50
2025-11-01,御影蘭,Rosa,50
2025-11-01,とんちゃん,Heart Me,1
2025-11-01,あさみん(◍•ᴗ•◍)🍑,Rose,1
2025-11-01,御影蘭,Rose,1
2025-11-01,御影蘭,Rosa,10
